事業所番号,事業所名,ふりがな,法人名,法人番号,都道府県,市区町村,住所,緯度,経度,電話番号,FAX,URL,提供サービス,定員_就労移行支援,定員_就労継続支援Ａ型,定員_就労継続支援Ｂ型,定員_就労定着支援,定員_就労選択支援,生産活動,平均工賃月額,工賃の年度,工賃のサービス種別,工賃の突合方法,工賃の出典,掲載状況,初出スナップショット,最終確認スナップショット,指定機関,データ基準,基本情報の出典,内部ID
0114702046,ココロコ十勝,こころことかち,株式会社　ピークス,3450001010248,北海道,上川郡新得町,北海道上川郡新得町西二条南７丁目３番地３,43.07303546,142.83033175,0156-67-7378,0156-67-7379,,就労継続支援Ｂ型,,,10,,,"その他サービス,食品・飲料",31956,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202209,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,16c1951ad6536ccb
0113100549,はぴふる,はぴふる,株式会社　ＣＬＯＶＥＲ,5450001010535,北海道,上川郡東川町,北海道上川郡東川町北町４丁目１２番１９号,43.7064732,142.4998618,0166-85-6518,0166-85-6536,,就労継続支援Ｂ型,,,20,,,,,,,,,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,c5e3303a781d4a7c
0113100598,サンフレンズ旭川,さんふれんずあさひかわ,株式会社　マルヤマ,5430001061118,北海道,上川郡東川町,北海道上川郡東川町西町４丁目１−２０,43.7021153,142.4987455,0166-82-7777,0166-82-7778,,就労継続支援Ａ型,,20,,,,"その他サービス,清掃・施設管理",134674,2024年度,就労継続支援Ａ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,6274e78c1e4afe7a
0113100648,ワークステーション　翼　就労継続支援Ｂ型事業所,わーくすてーしょんつばさしゅうろうけいぞくしえんがたじぎょうしょ,特定非営利活動法人　翼,450005003918,北海道,上川郡東川町,北海道上川郡東川町北町九丁目３番６８号,43.7106945,142.4847768,0166-82-6066,0166-82-6077,,,,,,,,,,,,,,最新データに掲載なし,202111,202309,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,bdfdc95d913d9071
0113100820,就労継続支援施設　わくらば,しゅうろうけいぞくしえんしせつわくらば,合同会社わくらば,8450003001678,北海道,上川郡東川町,北海道上川郡東川町北町３丁目２番７号,43.70217061,142.49986996,07014034252,,,就労継続支援Ａ型 / 就労継続支援Ｂ型,,,,,,製菓・パン,80395,2024年度,就労継続支援Ａ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202409,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,a3208ef37d45859b
0113100846,東川リード,ひがしかわりーど,合同会社すたーと,450003002352,北海道,上川郡東川町,北海道上川郡東川町北町9丁目3番６８号,43.70122081,142.50398907,0166826066,0166826077,,就労継続支援Ｂ型,,,20,,,,,,,,,最新データに掲載あり,202409,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,095176ccb5af6687
0112900139,ゆい・ゆい本舗,ゆいゆいほんぽ,特定非営利活動法人　ゆい・ゆい,6450005001918,北海道,上川郡東神楽町,北海道上川郡東神楽町ひじり野北１条３丁目１番３号,43.72108182,142.41346928,0166-76-4237,0166-76-4238,https://ameblo.jp/minnnanoyui,就労継続支援Ｂ型,,,20,,,,,,,,,最新データに掲載あり,202111,202603,旭川市,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,4996affb59024756
0113100804,クリエイト,くりえいと,合同会社　エイト,6450003001894,北海道,上川郡東神楽町,北海道上川郡東神楽町北１条西１丁目８番５号,43.69885047,142.45148666,0166-73-5429,0166-73-5429,,就労継続支援Ｂ型,,,20,,,,6226,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,3f7d85ec6addbace
0113100333,ケンセイシャレバレッジ,けんせいしゃればれっじ,特定非営利活動法人　まこと,,北海道,上川郡東神楽町,北海道上川郡東神楽町北二条西３丁目２５４番地７３,43.70316096,142.44960598,0166-85-7792,0166-85-7798,,就労継続支援Ｂ型 / 就労移行支援,,,30,,,"その他サービス,クリーニング",59616,2024年度,就労継続支援Ｂ型,pref+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202203,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,2e7eb94bb513c227
0113100028,わーくさぽーと　のどか,わーくさぽーとのどか,特定非営利活動法人　のどか,1450005001930,北海道,上川郡比布町,北海道上川郡比布町寿町１丁目１番１号,43.87614212,142.47581228,0166-85-3434,0166-85-3005,,就労継続支援Ｂ型,,,20,,,,12897,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202409,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,8f447b92f87e5fe3
0113100408,ワークサポート　フレンズ,わーくさぽーとふれんず,特定非営利活動法人　フレンズ,7450005002329,北海道,上川郡比布町,北海道上川郡比布町基線４号,43.85810226,142.47202497,0166-85-3722,0166-85-3735,,就労継続支援Ｂ型,,,,,,"製菓・パン,農業,飲食店運営",35349,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,58776cadd8978db9
0114701345,多機能型事業所　旭山農志塾,たきのうがたじぎょうしょあさひやまのうしじゅく,社会福祉法人　清水旭山学園,7460105001320,北海道,上川郡清水町,北海道上川郡清水町字旭山南８線５６番地２,42.91404282,142.91761393,0156-63-2134,0156-63-2135,http://www.asahiyama.or.jp/,就労継続支援Ｂ型,,,20,,,"清掃・施設管理,農業,飲食店運営",29337,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,9f81597ee14676dc
0114701600,就労継続支援Ｂ型事業所　御影農志塾,しゅうろうけいぞくしえんがたじぎょうしょみかげのうしじゅく,社会福祉法人　清水旭山学園,7460105001320,北海道,上川郡清水町,北海道上川郡清水町字御影南１線５５番地２３,42.94301581,142.94884028,0156-63-3171,0156-63-3171,http://www.asahiyama.or.jp/,就労継続支援Ｂ型,,,20,,,"その他物品,清掃・施設管理,農業",29948,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,fd467eae8a4d6f7a
0113100770,アトリエジョパンニ,あとりえじょぱんに,特定非営利活動法人サークルエイト,7450005004192,北海道,上川郡美瑛町,北海道上川郡美瑛町幸町１丁目５番２４号,43.58836473,142.47039302,050-8892-8868,0166920018,,就労継続支援Ｂ型,,,,,,,,,,,,最新データに掲載あり,202503,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,45a111b854077b16
0113100754,満天の丘　輝星,まんてんのおかこうせい,一般社団法人　満天の丘びばうし,4450005004121,北海道,上川郡美瑛町,北海道上川郡美瑛町栄町３丁目１番８号,43.588459,142.46487123,0166-74-3308,0166-74-7108,https://manten-hill.com/,就労継続支援Ｂ型 / 就労継続支援Ａ型,,10,10,,,"その他サービス,その他物品,小物雑貨・生活用品,清掃・施設管理,食品・飲料",79213,2024年度,就労継続支援Ａ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,4b620a75485772bc
0113100416,障害福祉サービス事業所　美瑛ディセンター　すずらん,しょうがいふくしさーびすじぎょうしょびえいでいせんたーすずらん,社会福祉法人　新生会,9450005000256,北海道,上川郡美瑛町,北海道上川郡美瑛町南町５丁目３番２号,43.58232372,142.47200427,0166-68-7155,0166-68-7156,http://shinseikai1969.sakura.ne.jp/,就労継続支援Ｂ型,,,10,,,,,,,,,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,3cca648ad76c8ab3
0113100788,Ｂｉｅｉ−ＢＡＳＥ,びえいべーす,株式会社ＢＡＳＥ,8450001012685,北海道,上川郡美瑛町,北海道上川郡美瑛町春日台４２２１番地,43.5881952,142.4669822,090-4848-5588,,,就労継続支援Ｂ型,,,20,,,その他サービス,34722,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,3cc22e6641f232ab
0113100531,とわ北斗,とわほくと,社会福祉法人　鷹栖共生会,7450005000266,北海道,上川郡鷹栖町,北海道上川郡鷹栖町１４線１７号,43.8868048,142.3779851,0166-87-5630,0166-87-5631,http://towahokutotakasu.wixsite.com/takasukyoseikai,就労継続支援Ｂ型,,,20,,,"その他物品,農業,飲食店運営",22869,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,d514dcc364416a5d
0113100176,大雪の園,たいせつのその,社会福祉法人　鷹栖共生会,7450005000266,北海道,上川郡鷹栖町,北海道上川郡鷹栖町１８線９号,43.8707454,142.3207524,0166-87-3113,0166-87-3358,,就労継続支援Ｂ型,,,18,,,,,,,,,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,21924657110047f7
0113100853,就労継続支援事業所くろこ,しゅうろうけいぞくしえんじぎょうしょくろこ,株式会社パザパ,4450001013456,北海道,上川郡鷹栖町,北海道上川郡鷹栖町北一条２丁目７−２９,43.84781824,142.35655823,0166672761,0166672761,https://tt-pasapas.com/,就労継続支援Ｂ型,,,20,,,,7789,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202409,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,cd719138df1ae58a
0111501540,中ノ川センター,なかのかわせんたー,社会福祉法人あすなろ福祉会,6440005001951,北海道,上磯郡知内町,北海道上磯郡知内町森越103番地,41.6322385,140.42385394,01392-6-7722,01392-6-7511,,就労継続支援Ｂ型,,,30,,,"清掃・施設管理,食品・飲料,飲食店運営",38683,2024年度,就労継続支援Ｂ型,pref+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202209,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,aebfed18902e20a6
0111501441,知内ＦＤセンター,しりうちえふでぃせんたー,社会福祉法人あすなろ福祉会,6440005001951,北海道,上磯郡知内町,北海道上磯郡知内町湯ノ里242番地6知内ＦＤセンター,41.5981533,140.4189455,01392-5-2255,01392-5-2288,http://esashi-fukushikai.com/,就労継続支援Ｂ型,,,20,,,"食品・飲料,飲食店運営",59674,2024年度,就労継続支援Ｂ型,pref+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,bbb489b7b21d0318
0114701428,ひまわりの家,ひまわりのいえ,社会福祉法人　ひまわり,8460105001947,北海道,中川郡幕別町,北海道中川郡幕別町札内青葉町１８５番地,42.91482168,143.26849352,0155-56-6630,0155-56-6630,,,,,,,,,22079,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載なし,202111,202111,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,e7c31060bc86bea0
0114701428,多機能型事業所ひまわりの家,たきのうがたじぎょうしょひまわりのいえ,社会福祉法人　ひまわり,8460105001947,北海道,中川郡幕別町,北海道中川郡幕別町札内青葉町１８５番地,42.91482168,143.26849352,0155-56-6630,0155-56-6630,,就労継続支援Ｂ型,,,20,,,,,,,,,最新データに掲載あり,202203,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,26c54e2543384adf
0114602204,就労支援事業所フィオーレ帯広,しゅうろうしえんじぎょうしょふぃおーれおびひろ,株式会社　リーベ,7430001037891,北海道,中川郡幕別町,北海道中川郡幕別町札内青葉町３１１番地８,42.9132689,143.26282747,0155-66-8685,0155-66-8685,,就労継続支援Ｂ型,,,20,,,"その他サービス,農業",21877,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,a5a7d007c0efbed7
0114701022,幕別あすなろ会,まくべつあすなろかい,株式会社　十勝あすなろ会,2460101004323,北海道,中川郡幕別町,北海道中川郡幕別町札内新北町７７番地３５,42.92030656,143.25233634,0155-56-8901,0155-66-6650,,就労継続支援Ｂ型,,,20,,,"清掃・施設管理,農業,食品・飲料",46895,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,e12719d6ccd465c9
0114701519,福祉サービス事業所　笑心。,ふくしさーびすじぎょうしょえこ,株式会社　ベータプラン,1460101005009,北海道,中川郡幕別町,北海道中川郡幕別町札内北町２１番地１９,42.92052312,143.24950049,0155-66-4741,0155-66-4742,,就労継続支援Ｂ型,,,20,,,"その他サービス,清掃・施設管理,製菓・パン",17021,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,7a1aefc636c32707
0114702061,ＰＰＣ,ぴーぴーしー,株式会社　ミラータイム,9460101005034,北海道,中川郡幕別町,北海道中川郡幕別町札内中央町３１９番地の４８,42.91213282,143.2594834,0155-67-0038,0155-67-0039,https://millertime.jp/,就労継続支援Ｂ型,,,18,,,"その他物品,印刷",3902,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,f59c9a64f15a7025
0114701162,ほんべつつつじの園,ほんべつつつじのその,特定非営利活動法人　ほんべつつつじの園,2460105001787,北海道,中川郡本別町,北海道中川郡本別町向陽町２３番地１,43.12005958,143.61576628,0156-22-6059,0156-22-6059,https://tsutsujinosono.jimdofree.com/,就労継続支援Ｂ型,,,20,,,"クリーニング,小物雑貨・生活用品,清掃・施設管理",14579,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,55e4f81f25afa448
0114701949,ワークステーション　「わくわく」,わーくすてーしょんわくわく,特定非営利活動法人　ほんべつフリーライフ,2460105002059,北海道,中川郡本別町,北海道中川郡本別町北１丁目３番地１０,43.12316738,143.61180827,0156-28-0099,0156-28-0099,,就労継続支援Ｂ型,,,20,,,"その他サービス,農業,食品・飲料",22767,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,731836aa5ebf4c3a
0114701774,クローバー共同作業所,くろーばーきょうどうさぎょうじょ,特定非営利活動法人　クローバー共同作業所,9460105001748,北海道,中川郡池田町,北海道中川郡池田町西三条６丁目１４−１,42.928954,143.4483547,015-572-3683,015-572-3683,https://cloverks-ikeda.com/,就労継続支援Ｂ型,,,20,,,"小物雑貨・生活用品,製菓・パン",16015,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,1adf1590f2ca095e
0114701063,就労支援センターこんぱす,しゅうろうしえんせんたーこんぱす,社会福祉法人　北勝光生会,5460105001405,北海道,中川郡池田町,北海道中川郡池田町字利別本町２７番地,42.92980908,143.43511678,015-572-4653,015-572-4643,http://www.rikubetsu.or.jp/,就労継続支援Ｂ型,,,20,,,"その他サービス,小物雑貨・生活用品,農業",20227,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,a0968ce309be48ce
0113200521,のぞみ,のぞみ,社会福祉法人　美深福祉会,8450005002393,北海道,中川郡美深町,北海道中川郡美深町字美深７６番地の８,44.47356279,142.3424587,01656-2-1101,01656-2-3898,http://www.bfk.jpn.com/,就労継続支援Ｂ型,,,40,,,"その他サービス,クリーニング,食品・飲料",36369,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,1d52b16b8b0321c5
0111700233,特定非営利活動法人　せたな共同作業所ふれんど,とくていひえいりかつどうほうじんせたなきょうどうさぎょうしょふれんど,特定非営利活動法人　せたな共同作業所ふれんど,7440005001884,北海道,久遠郡せたな町,北海道久遠郡せたな町瀬棚区本町729番地1,42.44997913,139.85332319,0137872283,0137872283,,就労継続支援Ｂ型,,,20,,,"その他サービス,その他物品,製菓・パン",51147,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,eb4740615ff4db1b
0111500864,どり−夢工房,どりーむこうぼう,社会福祉法人　七飯有隣会,7440005001257,北海道,亀田郡七飯町,北海道亀田郡七飯町鳴川３丁目２４番１６号,41.88840915,140.69271313,0138-84-5219,0138-84-5212,http://nanaeyurinkai.or.jp/dream/,就労継続支援Ｂ型,,,5,,,,,,,,,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,dd39e6e0e10976f8
0111501680,なないろbase,なないろべーす,株式会社　夢工房,5440001008811,北海道,亀田郡七飯町,北海道亀田郡七飯町峠下11-15,41.92358209,140.65999003,0138-85-8877,0138-85-8555,,就労継続支援Ｂ型,,,20,,,,,,,,,最新データに掲載あり,202603,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,b59bbb1e402406f8
0111501524,なないろファクトリー,なないろふぁくとりー,株式会社　夢工房,5440001008811,北海道,亀田郡七飯町,北海道亀田郡七飯町本町３丁目10-22,41.89357239,140.68869963,0138-85-6931,0138-85-6914,,就労継続支援Ｂ型,,,20,,,"その他サービス,農業,食品・飲料",18469,2024年度,就労継続支援Ｂ型,pref+city+name,https://www.pref.hokkaido.lg.jp/hf/shf/ko-chin.html,最新データに掲載あり,202111,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,7c91f07ad3130806
0111501706,ハコアゲワークス,はこあげわーくす,株式会社ハコアゲ,3440001009654,北海道,亀田郡七飯町,北海道亀田郡七飯町大川1丁目3番8号,41.85531663,140.71971001,0138-77-9534,,,就労継続支援Ｂ型,,,20,,,,,,,,,最新データに掲載あり,202603,202603,北海道,2026年3月末時点,WAM NET 障害福祉サービス等情報公表システム オープンデータ,e927f1eaf38ff08c
